n,citation,url
28,"Zimmerman H, Zimmerman N, Hagenfeld D, Veile A. Is frequency of toothbrushing a risk factor for periodontitis? A systematic review and meta-analysis . Community Dentistry and Oral Epidemiology 2014;43(2). doi: 10.1111/cdoe.12126",https://pubmed.ncbi.nlm.nih.gov/25255820/
29,"Ranzan N, Muniz F, Rosing CK. Are bristle stiffness and bristle end-shape related to adverse effects on soft tissues during toothbrushing? A systematic review . International Dental Journal 2019;69(3):171-82",https://pubmed.ncbi.nlm.nih.gov/30152076/
30,"Soldani FA, Lamont T, Jones K, Young L, Walsh T, Lala R, Clarkson JE. One-to-one oral hygiene advice provided in a dental setting for oral health . Cochrane Database of Systematic Reviews 2018; (10)",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007447.pub2/full
31,"Newton TJ, Asimakopoulou K. Managing oral hygiene as a risk factor for periodontal disease: a systematic review of psychological approaches to behaviour change for improved plaque control in periodontal management . Journal of Clinical Periodontology. 2015;42(Supplement 16):S36–S46. doi: 10.1111/jcpe.12356",https://pubmed.ncbi.nlm.nih.gov/25639708/
32,"Worthington HW, MacDonald L, Poklepovic Pericic T, Sambunjak D, Johnson TM, Imai P and others. Home use of interdental cleaning devices, in addition to toothbrushing, for preventing and controlling periodontal diseases and dental caries . Cochrane Database of Systematic Reviews 2019; (4). doi: 10.1002/14651858.CD012018.pub2",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012018.pub2/full
33,European Federation of Periodontology. Guidelines for Effective Prevention of Periodontal Diseases . 2014,https://www.efp.org/news-events/perio-workshop/past-workshops/perio-workshop-2014/
34,"Checchi V, Racca F, Bencivenni D, Lo Bianco L. Role of dental implant homecare in mucositis and peri-implantitis prevention: a literature overview . Open Dentistry Journal 2019;13:470-477. doi:10.2174/1874210601913010470",https://www.researchgate.net/publication/338601948_Role_of_Dental_Implant_Homecare_in_Mucositis_and_Peri-implantitis_Prevention_A_Literature_Overview
35,"Lin CY, Chen Z, Pan W-L, Wang H-L. The effect of supportive care in preventing peri-implant diseases and implant loss: a systematic review and meta-analysis . Clinical Oral Implants Research 2019;30(8):714-724. doi: 10.1111/clr.13496",https://pubmed.ncbi.nlm.nih.gov/31231883/
36,"Ramseier CA, Woelber JP, Kitzmann J, Detzen L, Carra MC, Bouchard P. Impact of risk factor control interventions for smoking cessation and promotion of healthy lifestyles in patients with periodontitis: A systematic review . Journal of Clinical Periodontology 2020, January 7;47(Suppl 22):90-106. doi: 10.1111/jcpe.13240. Online ahead of print",https://pubmed.ncbi.nlm.nih.gov/31912512/
37,"Nascimento GG, Leite FRM, Vestergaard P, Scheutz F, López R. Does diabetes increase the risk of periodontitis? A systematic review and meta-regression analysis of longitudinal prospective studies . Acta Diabetologica Epub 2018 March 3;55(7):653-667. DOI: 10.1007/s00592-018-1120-4",https://pubmed.ncbi.nlm.nih.gov/29502214/
38,"Baeza M, Morales A, Cisterna C, Cavalla F, Gisela Jara G, Isamitt Y and others. Effect of periodontal treatment in patients with periodontitis and diabetes: systematic review and meta-analysis . Journal of Applied Oral Sciences 2020 January 10;28:e20190248. doi: 10.1590/1678-7757-2019-0248",https://pubmed.ncbi.nlm.nih.gov/31939522/
39,"Siddiqi A, Zafar S, Sharma A, Quaranta A. Diabetic patients’ knowledge of the bidirectional link: are dental health care professionals effectively conveying the message? Australian Dental Journal. 2019;64(4);312-326. doi.org/10.1111/adj.12721",https://onlinelibrary.wiley.com/doi/abs/10.1111/adj.12721
40,"Holliday R, Hong B, McColl E, Livingstone-Banks J, Preshaw PM. Interventions for tobacco cessation delivered by dental professionals . Cochrane Database of Systematic Reviews 2021; (2). doi: 10.1002/14651858.CD005084.pub4",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005084.pub4/full
41,"Aveyard P, Begh R, Parsons A, West R. Brief opportunistic smoking cessation interventions: a systematic review and meta-analysis to compare advice to quit and offer of assistance . Addiction 2012 June;107(6):1066-73",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1360-0443.2011.03770.x
42,"Stead LF, Koilpillai P, Fanshawe TR, Lancaster T. Combined pharmacotherapy and behavioural interventions for smoking cessation . Cochrane Database of Systematic Reviews 2016; (3). doi: 10.1002/14651858.CD008286.pub3",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008286.pub3/full
43,"Cahill K, Stevens S, Perera R, Lancaster T. Pharmacological interventions for smoking cessation: an overview and network meta‐analysis . Cochrane Database of Systematic Reviews 2013; (5). doi: 10.1002/14651858.CD009329.pub2",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009329.pub2/full
44,"Cahill K, Lindson‐Hawley N, Thomas KH, Fanshawe TR, Lancaster T. Nicotine receptor partial agonists for smoking cessation . Cochrane Database of Systematic Reviews 2016; (5). doi: 10.1002/14651858.CD006103.pub7",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006103.pub7/full
45,"Lindson N, Chepkin SC, Ye W, Fanshawe TR, Bullen C, Hartmann‐Boyce J. Different doses, durations and modes of delivery of nicotine replacement therapy for smoking cessation . Cochrane Database of Systematic Reviews 2019; (4). doi: 10.1002/14651858.CD013308",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013308/full
46,"Lindson‐Hawley N, Hartmann‐Boyce J, Fanshawe TR, Begh R, Farley A, Lancaster T. Interventions to reduce harm from continued tobacco use . Cochrane Database of Systematic Reviews 2016; (10). doi: 10.1002/14651858.CD005231.pub3",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005231.pub3/full
47,NICE . Stop smoking services . 2008 [updated 2018],https://www.nice.org.uk/guidance/ng92
48,"Hartmann‐Boyce J, McRobbie H, Bullen C, Begh R, Stead LF, Hajek P. Electronic cigarettes for smoking cessation . Cochrane Database of Systematic Reviews 2016; (9). doi: 10.1002/14651858.CD010216.pub3",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010216.pub3/full
49,NICE 2012. Smokeless tobacco: South Asian communities . Public Health Guideline [PH39],https://www.nice.org.uk/guidance/ph39
50,"Kaner EFS, Beyer FR, Muirhead C, Campbell F, Pienaar ED, Bertholet N and others. Effectiveness of brief alcohol interventions in primary care populations . Cochrane Database of Systematic Reviews 2018; (2). doi: 10.1002/14651858.CD004148.pub4",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004148.pub4/full
51,"Mamluk L, Edwards HB, Savović J, Leach V, Jones T, Moore THM and others. Low alcohol consumption and pregnancy and childhood outcomes: time to change guidelines indicating apparently ‘safe’ levels of alcohol during pregnancy? A systematic review and meta-analyses British Medical Journal Open 2017;7:e015410. doi: 10.1136/bmjopen-2016-015410",https://bmjopen.bmj.com/content/7/7/e015410
52,Department of Health and Social Care. UK Chief Medical Officers’ low risk drinking guidelines . 2016,https://www.gov.uk/government/publications/alcohol-consumption-advice-on-low-risk-drinking
53,"Aune D, Giovannucci E, Boffetta P, Fadnes LT, Keum N, Norat T and others. Fruit and vegetable intake and the risk of cardiovascular disease, total cancer and all-cause mortality—a systematic review and dose-response meta-analysis of prospective studies . International Journal of Epidemiology June 2017;46 (3);1029–1056",https://pubmed.ncbi.nlm.nih.gov/28338764/
54,"Macey R, Walsh T, Brocklehurst P, Kerr AR, Liu JLY, Lingen MW and others. Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions . Cochrane Database of Systematic Reviews 2015; (5). doi: 10.1002/14651858.CD010276.pub2",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010276.pub2/full
55,NICE . Suspected cancer: recognition and referral (NG12) . 2015 [updated July 2025],https://www.nice.org.uk/guidance/ng12
56,NHS Scotland. Scottish referral guidelines for suspected cancer . 2019,https://www.cancerreferral.scot.nhs.uk/
57,Public Health England. Eatwell Guide . 2016,https://www.gov.uk/government/publications/the-eatwell-guide
58,Royal College of Surgeons Faculty of Dental Surgery. Clinical guidelines for dental erosion . 2013,https://www.rcseng.ac.uk/dental-faculties/fds/publications-guidelines/clinical-guidelines/
