id,domain,ch2_table,population,risk_factor,rec_type,recommendation,strength,n_components,ch13_table,strength_ch13,evidence_base,certainty_terms,weakest_certainty_mentioned,footnotes,references,strength_matches_ch13,matched,match_score,match_needs_review,join_note,audited_in_chapter,directness,our_certainty,verdict,search_date
DBOH-069,periodontal diseases,2d,control of specific risks for periodontitis,Medications,Advice,Some medications can affect gingival health,Refer to British National Formulary,1,,,,,,,,,NO,0.70,,no chapter 13 counterpart,,,,,
DBOH-087,tooth wear,4a,prevention of tooth wear in all patients,,Advice,"Maintain standard oral hygiene practices as detailed in table 2.  | Brush teeth at least twice daily:  | • last thing at night (or before bedtime) and at least on one other occasion  | • with toothpaste containing fluoride (appropriate to age – see dental caries table)  | • spitting out after brushing, rather than rinsing with water, to avoid diluting the fluoride concentration",Good practice,3,,,,,,,,,NO,0.44,,no chapter 13 counterpart,,,,,
